Tempurature Rate,0,10,20,30,40,50,60,70,80,90
0,1356.14425222163,1276.13742954262,1531.57530311122,1495.99224266584,341.710325540413,1602.48571052639,1390.71426145866,1521.65001378818,1555.90684161476,1244.88432795212
1,1419.22445109987,1304.04792849533,1531.57530311122,1507.65657502997,1158.03178829073,1610.69658203499,1414.8085858583,1553.38983698044,1587.63612371417,1414.0185078611
2,1427.28848558492,1387.52720785501,1531.57530311122,1525.70175536321,1418.85743111889,1628.74602006112,1437.77467951337,1583.80743943926,1614.60271595875,1478.68731378239
3,1461.44264151302,1393.05322387642,1531.57530311122,1525.70175536321,1474.73762247186,1632.36707950572,1449.13089250624,1601.5481884336,1628.00638385939,1486.88040488633
4,1470.45221827909,1393.05322387642,1531.57530311122,1525.70175536321,1532.89445235704,1635.38027520481,1451.75340564253,1606.3712834146,1640.06888061033,1486.88040488633
5,1470.45221827909,1429.36256550883,1540.75790575009,1525.70175536321,1556.23674411961,1641.44021894898,1463.19128119203,1608.71592475529,1650.59117526846,1513.92107164164
6,1470.45221827909,1443.91234755494,1544.19242248691,1525.70175536321,1556.23674411961,1643.69461332793,1463.19128119203,1611.70702856125,1659.12505724483,1526.54196340804
7,1470.45221827909,1494.77986256111,1544.19242248691,1525.70175536321,1560.83647424026,1643.69461332793,1490.7072306227,1611.70702856125,1660.38680126667,1542.95897459571
8,1470.45221827909,1527.32890448362,1544.19242248691,1525.70175536321,1564.45322401423,1643.69461332793,1509.81224122355,1611.70702856125,1662.50914546849,1552.25326270022
9,1479.71634420265,1529.61524044294,1544.19242248691,1542.06875781186,1567.66077464558,1643.69461332793,1535.6302262786,1611.70702856125,1666.29101830997,1552.25326270022
10,1479.71634420265,1534.37080956012,1544.19242248691,1565.13770873069,1582.63883886492,1643.69461332793,1547.43799747205,1611.70702856125,1666.29101830997,1552.25326270022
11,1479.71634420265,1535.67099277128,1544.19242248691,1576.39096847446,1582.63905278992,1643.69461332793,1547.43799747205,1623.93510952969,1666.29101830997,1552.25326270022
12,1490.00363188971,1540.52647577299,1544.19242248691,1577.53891140025,1582.63905278992,1643.69461332793,1559.764263827,1626.46456178193,1666.29101830997,1558.77475871834
13,1505.59499205069,1540.52647577299,1544.19242248691,1577.72602291,1595.10415925108,1643.69461332793,1559.764263827,1626.46456178193,1666.29101830997,1558.77475871834
14,1505.59499205069,1540.52647577299,1544.19242248691,1577.72602291,1607.40992508819,1643.69461332793,1559.764263827,1626.46456178193,1673.59999931597,1564.99698200324
15,1505.59499205069,1540.52647577299,1544.19242248691,1585.3840557935,1608.05642244766,1643.69461332793,1559.764263827,1631.1245128165,1678.14969462536,1566.08829384579
16,1505.59499205069,1540.52647577299,1544.19242248691,1585.48057193162,1608.05642244766,1643.69461332793,1559.764263827,1632.78749691456,1683.56391911576,1571.85293310966
